Protein identifier	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
DLFM02_01385|F18_TET_31|gene-3|-|1081-3000|complete	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	96.87	639	WP_000691721.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM02_01457|F18_CHL_2|gene-1|-|114-755|complete	catA	type A chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	214	NA	NA	NA	NA	NA	NA	NF000491.1	type A chloramphenicol O-acetyltransferase
DLFM02_01490|F18_TET_25|gene-1|+|148-2121|complete	tet(Q)	tetracycline resistance ribosomal protection protein Tet(Q)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	658	641	100.00	97.97	641	WP_002560998.1	tetracycline resistance ribosomal protection protein Tet(Q)	NF012154.0	tetracycline resistance ribosomal protection protein Tet(Q)
DLFM02_01505|F18_TET_34|gene-3|-|504-2423|complete	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	93.90	639	WP_012669445.1	tetracycline resistance ribosomal protection protein Tet(O)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM02_01506|F18_TET_48|gene-1|-|498-2417|complete	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	94.05	639	WP_012669445.1	tetracycline resistance ribosomal protection protein Tet(O)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM02_01521|F18_CHL_16|gene-2|+|1182-1805|complete	catA13	type A-13 chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	BLASTP	208	207	100.00	98.55	207	WP_043774378.1	type A-13 chloramphenicol O-acetyltransferase	NF000491.1	type A chloramphenicol O-acetyltransferase
DLFM02_01532|F18_TET_2|gene-2|+|812-1924|complete	tet(Q)	tetracycline resistance ribosomal protection protein Tet(Q)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIALP	371	641	57.25	97.82	367	WP_002560998.1	tetracycline resistance ribosomal protection protein Tet(Q)	NF012154.0	tetracycline resistance ribosomal protection protein Tet(Q)
DLFM02_01548|F16_PIP_43|gene-2|-|494-1384|complete	cblA	CblA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	297	296	100.00	98.99	296	WP_005827792.1	CblA family class A beta-lactamase	NF033098.1	CblA family class A beta-lactamase
DLFM02_01667|F16_PEN_5|gene-4|+|1796-2929|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	98.14	377	WP_063610930.1	class C extended-spectrum beta-lactamase EC-15	NF000185.2	BlaEC family class C beta-lactamase
DLFM02_01669|F16_TET_23|gene-2|-|260-2179|complete	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.22	639	WP_002586627.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM02_01679|F16_TET_5|gene-2|+|375-2333|complete	tetB(P)	tetracycline resistance ribosomal protection protein TetB(P)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	653	652	100.00	97.70	652	WP_012478245.1	tetracycline resistance ribosomal protection protein TetB(P)	NF012153.1	tetracycline resistance ribosomal protection protein
DLFM02_01732|F16_TET_11|gene-2|+|1404-3323|complete	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	98.75	639	WP_043029018.1	tetracycline resistance ribosomal protection protein Tet(M)	NF012155.1	tetracycline resistance ribosomal protection protein Tet(M)
DLFM02_01764|F16_PEN_10|gene-2|+|824-1729|complete	bla	class A beta-lactamase, subclass A2	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	302	NA	NA	NA	NA	NA	NA	NF012099.1	class A beta-lactamase, subclass A2
DLFM02_01807|F15_FOX_18|gene-2|+|1115-1891|complete	bla	subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	259	NA	NA	NA	NA	NA	NA	NF033088.1	subclass B1 metallo-beta-lactamase
DLFM02_01810|F15_CAZ_9|gene-2|+|348-1238|complete	cblA	CblA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	297	296	100.00	99.66	296	WP_005827792.1	CblA family class A beta-lactamase	NF033098.1	CblA family class A beta-lactamase
DLFM02_01813|F15_CAZ_4|gene-1|-|110-886|complete	bla	subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	259	NA	NA	NA	NA	NA	NA	NF033088.1	subclass B1 metallo-beta-lactamase
DLFM02_01828|F15_TET_1|gene-1|-|106-2025|complete	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.69	639	WP_012669445.1	tetracycline resistance ribosomal protection protein Tet(O)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM02_01853|F15_TET_5|gene-2|-|361-1440|complete	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIALP	360	639	56.18	99.44	359	WP_002586627.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM02_01862|F15_TGC_1|gene-2|+|548-1714|complete	tet(X)	tetracycline-inactivating monooxygenase Tet(X)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	389	388	100.00	98.45	388	WP_008651082.1	tetracycline-inactivating monooxygenase Tet(X)	NF033111.2	tetracycline-inactivating monooxygenase Tet(X)
DLFM02_01882|F15_TGC_1|gene-3|+|1307-2473|complete	tet(X)	tetracycline-inactivating monooxygenase Tet(X)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	389	388	100.00	99.74	388	WP_008651082.1	tetracycline-inactivating monooxygenase Tet(X)	NF033111.2	tetracycline-inactivating monooxygenase Tet(X)
DLFM02_01913|F15_PEN_10|gene-4|+|946-2079|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	98.67	377	WP_001443153.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NF000185.2	BlaEC family class C beta-lactamase
DLFM02_01915|F15_PEN_37|gene-2|+|474-1349|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	292	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM02_01954|F15_CHL_12|gene-4|+|1741-2364|complete	catA	type A chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	208	NA	NA	NA	NA	NA	NA	NF000491.1	type A chloramphenicol O-acetyltransferase
DLFM02_01964|F15_GEN_3|gene-3|+|1045-1323|complete	aac(6')-Im	aminoglycoside N-acetyltransferase AAC(6')-Im	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	PARTIALP	93	178	50.56	98.89	90	WP_002592614.1	aminoglycoside N-acetyltransferase AAC(6')-Im	NF000016.1	aminoglycoside N-acetyltransferase AAC(6')-Im
DLFM02_01970|F15_DCS_9|gene-2|+|428-1489|complete	vanG	D-alanine--D-serine ligase VanG	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	HMM	354	NA	NA	NA	NA	NA	NA	NF000091.3	D-alanine--D-serine ligase VanG
DLFM02_01990|F15_PEN_42|gene-2|+|1841-2731|complete	cblA	CblA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	297	296	100.00	99.66	296	WP_005827792.1	CblA family class A beta-lactamase	NF033098.1	CblA family class A beta-lactamase
DLFM02_02047|F12_TET_7|gene-2|-|1047-2966|complete	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.69	639	WP_002586627.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM02_02119|F12_TET_4|gene-2|+|815-2734|complete	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	640	639	100.00	100.00	639	WP_000691759.1	tetracycline resistance ribosomal protection protein Tet(O)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM02_02134|F11_CAZ_16|gene-1|+|107-1009|complete	bla	class A beta-lactamase, subclass A2	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	301	NA	NA	NA	NA	NA	NA	NF012099.1	class A beta-lactamase, subclass A2
DLFM02_02137|F11_PEN_11|gene-4|-|1455-2588|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	98.14	377	WP_063610930.1	class C extended-spectrum beta-lactamase EC-15	NF000185.2	BlaEC family class C beta-lactamase
DLFM02_02139|F11_CHL_4|gene-2|-|440-1063|complete	catA	type A chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	208	NA	NA	NA	NA	NA	NA	NF000491.1	type A chloramphenicol O-acetyltransferase
DLFM02_02160|F11_CHL_13|gene-2|+|576-1205|complete	catA	type A chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	210	NA	NA	NA	NA	NA	NA	NF000491.1	type A chloramphenicol O-acetyltransferase
DLFM02_02205|F11_GEN_8|gene-3|+|1157-1951|complete	rmt	Rmt family 16S rRNA (guanine(1405)-N(7))-methyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	HMM	265	NA	NA	NA	NA	NA	NA	NF000466.2	Rmt family 16S rRNA (guanine(1405)-N(7))-methyltransferase
DLFM02_02207|F11_CHL_8|gene-1|-|89-715|complete	catA13	type A-13 chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	BLASTP	209	207	100.00	99.52	207	WP_043774378.1	type A-13 chloramphenicol O-acetyltransferase	NF000491.1	type A chloramphenicol O-acetyltransferase
DLFM02_02232|F11_GEN_11|gene-2|+|1073-2335|complete	rmtD	RmtD family 16S rRNA (guanine(1405)-N(7))-methyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	BLASTP	421	247	99.60	97.97	246	WP_063866469.1	16S rRNA (guanine(1405)-N(7))-methyltransferase RmtD2	NF000007.1	RmtD family 16S rRNA (guanine(1405)-N(7))-methyltransferase
DLFM02_02354|F07_TET_6|gene-1|-|25-1998|complete	tet(Q)	tetracycline resistance ribosomal protection protein Tet(Q)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	658	641	100.00	99.22	641	WP_004293868.1	tetracycline resistance ribosomal protection protein Tet(Q)	NF012154.0	tetracycline resistance ribosomal protection protein Tet(Q)
DLFM02_02370|F07_CHL_1|gene-2|-|490-1140|complete	catA	type A chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	217	NA	NA	NA	NA	NA	NA	NF000491.1	type A chloramphenicol O-acetyltransferase
DLFM02_02438|F07_TET_3|gene-2|+|1651-2817|complete	tet(X)	tetracycline-inactivating monooxygenase Tet(X)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	389	388	100.00	99.48	388	WP_008651082.1	tetracycline-inactivating monooxygenase Tet(X)	NF033111.2	tetracycline-inactivating monooxygenase Tet(X)
DLFM02_02459|F07_TGC_6|gene-3|+|1509-2675|complete	tet(X)	tetracycline-inactivating monooxygenase Tet(X)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	389	388	100.00	99.74	388	WP_008651082.1	tetracycline-inactivating monooxygenase Tet(X)	NF033111.2	tetracycline-inactivating monooxygenase Tet(X)
DLFM02_02520|F06_PEN_13|gene-4|-|2593-3483|complete	cblA	CblA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	297	296	100.00	99.66	296	WP_005827792.1	CblA family class A beta-lactamase	NF033098.1	CblA family class A beta-lactamase
DLFM02_02580|F06_PEN_31|gene-1|+|85-990|complete	bla	class A beta-lactamase, subclass A2	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	302	NA	NA	NA	NA	NA	NA	NF012099.1	class A beta-lactamase, subclass A2
DLFM02_02699|F06_TZP_15|gene-3|-|1233-2123|complete	cblA	CblA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	297	296	100.00	99.66	296	WP_005827792.1	CblA family class A beta-lactamase	NF033098.1	CblA family class A beta-lactamase
DLFM02_02786|F06_GEN_4|gene-3|+|1330-2229|complete	aph(2'')-IIa	aminoglycoside O-phosphotransferase APH(2'')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	BLASTP	300	299	100.00	99.33	299	WP_063840674.1	aminoglycoside O-phosphotransferase APH(2'')-IIa	NF000015.3	aminoglycoside O-phosphotransferase APH(2'')-IIa
DLFM02_02786|F06_GEN_4|gene-4|+|2273-2809|complete	aac(6')-Im	aminoglycoside N-acetyltransferase AAC(6')-Im	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	BLASTP	179	178	100.00	98.31	178	WP_057038955.1	aminoglycoside N-acetyltransferase AAC(6')-Im	NF000016.1	aminoglycoside N-acetyltransferase AAC(6')-Im
DLFM02_02863|F06_PEN_34|gene-2|-|921-1811|complete	bla	class A beta-lactamase, subclass A2	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	297	NA	NA	NA	NA	NA	NA	NF012099.1	class A beta-lactamase, subclass A2
DLFM02_02934|F05_GEN_14|gene-1|+|27-704|complete	aph(2'')-IIIa	aminoglycoside O-phosphotransferase APH(2'')-IIIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	PARTIALP	226	306	52.61	100.00	161	WP_018659526.1	aminoglycoside O-phosphotransferase APH(2'')-IIIa	NF000044.2	aminoglycoside O-phosphotransferase APH(2'')-IIIa
DLFM02_02975|F05_GEN_9|gene-1|-|193-801|complete	aph(2'')-IIIa	aminoglycoside O-phosphotransferase APH(2'')-IIIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	PARTIALP	203	306	66.01	100.00	202	WP_018659526.1	aminoglycoside O-phosphotransferase APH(2'')-IIIa	NF000044.2	aminoglycoside O-phosphotransferase APH(2'')-IIIa
DLFM02_02976|F05_PEN_19|gene-10|-|5023-6156|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	98.67	377	WP_001443153.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NF000185.2	BlaEC family class C beta-lactamase
DLFM02_03040|F04_CAZ_19|gene-2|+|1444-2196|complete	cblA	CblA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	PARTIALP	251	296	77.36	96.51	229	WP_005827792.1	CblA family class A beta-lactamase	NF033098.1	CblA family class A beta-lactamase
DLFM02_03047|F04_PEN_30|gene-3|-|1806-2666|complete	blaSHV	class A extended-spectrum beta-lactamase SHV-40	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTP	287	286	100.00	100.00	286	WP_063864681.1	class A extended-spectrum beta-lactamase SHV-40	NF000285.3	SHV family class A beta-lactamase
DLFM02_03056|F04_TET_14|gene-1|+|912-2831|complete	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	94.52	639	WP_063856418.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM02_03062|F04_TET_32|gene-1|-|80-2053|complete	tet(Q)	tetracycline resistance ribosomal protection protein Tet(Q)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	658	641	100.00	99.53	641	WP_063856407.1	tetracycline resistance ribosomal protection protein Tet(Q)	NF012154.0	tetracycline resistance ribosomal protection protein Tet(Q)
DLFM02_03111|F04_ATM_41|gene-2|+|2254-3144|complete	cblA	CblA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	297	296	100.00	98.31	296	WP_005827792.1	CblA family class A beta-lactamase	NF033098.1	CblA family class A beta-lactamase
DLFM02_03142|F04_PIP_32|gene-2|+|239-1114|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	292	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM02_03177|F04_TET_27|gene-3|+|817-2736|complete	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.53	639	WP_014636291.1	tetracycline resistance ribosomal protection protein Tet(O)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM02_03188|F04_FOX_6|gene-3|-|1078-1968|complete	cblA	CblA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	297	296	100.00	96.28	296	WP_005827792.1	CblA family class A beta-lactamase	NF033098.1	CblA family class A beta-lactamase
DLFM02_03248|F04_CHL_17|gene-2|+|480-1103|complete	catA	type A chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	208	NA	NA	NA	NA	NA	NA	NF000491.1	type A chloramphenicol O-acetyltransferase
DLFM02_03317|F34_PEN_16|gene-5|-|1526-2251|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIALP	242	377	63.93	97.10	241	WP_001443153.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NF000185.2	BlaEC family class C beta-lactamase
DLFM02_03331|F34_TET_3|gene-1|+|706-2625|complete	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.84	639	WP_009305318.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM02_03342|F34_TMP_16|gene-2|-|617-1111|complete	dfrE	trimethoprim-resistant dihydrofolate reductase DfrE	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	BLASTP	165	164	100.00	98.17	164	WP_010710386.1	trimethoprim-resistant dihydrofolate reductase DfrE	NF033473.1	trimethoprim-resistant dihydrofolate reductase DfrE
DLFM02_03368|F33_PEN_2|gene-2|-|718-1620|complete	bla	class A beta-lactamase, subclass A2	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	301	NA	NA	NA	NA	NA	NA	NF012099.1	class A beta-lactamase, subclass A2
DLFM02_03373|F33_CHL_42|gene-1|-|107-730|complete	catA	type A chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	208	NA	NA	NA	NA	NA	NA	NF000491.1	type A chloramphenicol O-acetyltransferase
DLFM02_03435|F33_ATM_55|gene-2|+|297-1430|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	98.67	377	WP_001443153.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NF000185.2	BlaEC family class C beta-lactamase
DLFM02_03501|F33_TET_8|gene-2|-|498-1292|complete	tet(X)	tetracycline-inactivating monooxygenase Tet(X)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIALP	265	388	68.04	99.24	264	WP_008651082.1	tetracycline-inactivating monooxygenase Tet(X)	NF033111.2	tetracycline-inactivating monooxygenase Tet(X)
DLFM02_03508|F33_TET_26|gene-2|+|675-2594|complete	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.22	639	WP_014636291.1	tetracycline resistance ribosomal protection protein Tet(O)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM02_03560|F33_GEN_12|gene-2|+|805-1725|complete	aph(2'')-Ig	aminoglycoside O-phosphotransferase APH(2'')-Ig	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	EXACTP	307	306	100.00	100.00	306	WP_021034342.1	aminoglycoside O-phosphotransferase APH(2'')-Ig	NF000132.2	aminoglycoside O-phosphotransferase APH(2'')-Ig
DLFM02_03583|F33_PIP_4|gene-3|-|817-1950|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	99.47	377	WP_001443153.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NF000185.2	BlaEC family class C beta-lactamase
DLFM02_03605|F32_PEN_12|gene-2|+|823-1713|complete	cblA	CblA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	297	296	100.00	99.32	296	WP_005827792.1	CblA family class A beta-lactamase	NF033098.1	CblA family class A beta-lactamase
DLFM02_03615|F32_PEN_35|gene-7|-|2647-3780|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	99.20	377	WP_001443153.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NF000185.2	BlaEC family class C beta-lactamase
DLFM02_03661|F32_TET_38|gene-2|+|1391-3310|complete	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.84	639	WP_002586627.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM03_00023|S20_TZP_4|gene-5|-|2392-3276|complete	bla	subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	295	NA	NA	NA	NA	NA	NA	NF033105.1	subclass B3 metallo-beta-lactamase
DLFM03_00141|S17_PEN_4|gene-4|-|3550-4431|complete	bla	subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	294	NA	NA	NA	NA	NA	NA	NF033105.1	subclass B3 metallo-beta-lactamase
DLFM03_00154|S17_GEN_1|gene-3|-|2971-3801|complete	aac(3)	aminoglycoside 3-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	HMM	277	NA	NA	NA	NA	NA	NA	NF033082.0	aminoglycoside 3-N-acetyltransferase
DLFM03_00404|S12_CAZ_5|gene-2|+|995-1879|complete	bla	subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	295	NA	NA	NA	NA	NA	NA	NF033105.1	subclass B3 metallo-beta-lactamase
DLFM03_00544|S10_PEN_1|gene-3|-|1007-1879|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	291	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM03_00597|S09_ATM_6|gene-3|+|886-1869|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	328	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM03_00663|S08_ATM_18|gene-5|+|3835-4650|complete	blaOXA	class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	272	NA	NA	NA	NA	NA	NA	NF012161.0	class D beta-lactamase
DLFM03_00756|S07_PEN_68|gene-3|+|876-2030|complete	ampC	class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	385	NA	NA	NA	NA	NA	NA	NF033085.1	class C beta-lactamase
DLFM03_00758|S07_CAZ_13|gene-4|-|2860-3774|complete	bla	subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	305	NA	NA	NA	NA	NA	NA	NF033105.1	subclass B3 metallo-beta-lactamase
DLFM03_00794|S06_CTX_1|gene-2|-|1276-2451|complete	ampC	class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	392	NA	NA	NA	NA	NA	NA	NF033085.1	class C beta-lactamase
